% Notes to accompany the alignment of (tentative) orthologues
% for the canonical transcript of the human gene ENSG00000108846, 
% ATP-binding cassette, sub-family C (CFTR/MRP), member 3 [Source:HGNC Symbol;Acc:54]
%%
% The alignment shows the exons from the following genes: 
% species                         common_name                     gene_id                        
 human                           homo_sapiens                    ENSG00000108846                
 gorilla                         gorilla_gorilla                 ENSGGOG00000003404             
 chimpanzee                      pan_troglodytes                 ENSPTRG00000009406             
 orangutan                       pongo_abelii                    ENSPPYG00000008276             
 gibbon                          nomascus_leucogenys             ENSNLEG00000007875             
 gibbon_2                        nomascus_leucogenys             ENSNLEG00000007870             
 macaque                         macaca_mulatta                  ENSMMUG00000003414             
 marmoset                        callithrix_jacchus              ENSCJAG00000018609             
 tarsier                         tarsius_syrichta                ENSTSYG00000011928             
 lemur                           microcebus_murinus              ENSMICG00000009822             
 galago_lemur_3                  otolemur_garnettii              ENSOGAG00000034471             
 galago_lemur                    otolemur_garnettii              ENSOGAG00000004530             
 galago_lemur_2                  otolemur_garnettii              ENSOGAG00000032112             
 guinea_pig                      cavia_porcellus                 ENSCPOG00000013296             
 squirrel                        ictidomys_tridecemlineatus      ENSSTOG00000027974             
 mouse                           mus_musculus                    ENSMUSG00000020865             
 rat                             rattus_norvegicus               ENSRNOG00000002948             
 pika                            ochotona_princeps               ENSOPRG00000013477             
 rabbit                          oryctolagus_cuniculus           ENSOCUG00000002754             
 tree_shrew                      tupaia_belangeri                ENSTBEG00000006360             
 european_shrew                  sorex_araneus                   ENSSARG00000009747             
 madagascar_hedgehog             echinops_telfairi               ENSETEG00000009934             
 elephant                        loxodonta_africana              ENSLAFG00000007037             
 hyrax                           procavia_capensis               ENSPCAG00000009225             
 wallaby                         macropus_eugenii                ENSMEUG00000004456             
 opossum_2                       monodelphis_domestica           ENSMODG00000012730             
 opossum                         monodelphis_domestica           ENSMODG00000020910             
 tasmanian_devil                 sarcophilus_harrisii            ENSSHAG00000016312             
 platypus                        ornithorhynchus_anatinus        ENSOANG00000013332             
 anole_lizard_2                  anolis_carolinensis             ENSACAG00000001396             
 anole_lizard                    anolis_carolinensis             ENSACAG00000001383             
 chicken                         gallus_gallus                   ENSGALG00000007522             
 turkey                          meleagris_gallopavo             ENSMGAG00000008701             
 zebra_finch                     taeniopygia_guttata             ENSTGUG00000009151             
 turtle                          pelodiscus_sinensis             ENSPSIG00000011887             
 xenopus                         xenopus_tropicalis              ENSXETG00000012239             
 coelacanth_2                    latimeria_chalumnae             ENSLACG00000006619             
 coelacanth                      latimeria_chalumnae             ENSLACG00000007209             
 zebrafish                       danio_rerio                     ENSDARG00000077243             
 cod                             gadus_morhua                    ENSGMOG00000010029             
 stickleback                     gasterosteus_aculeatus          ENSGACG00000005901             
 medaka                          oryzias_latipes                 ENSORLG00000020741             
 platyfish                       xiphophorus_maculatus           ENSXMAG00000012203             
 tilapia                         oreochromis_niloticus           ENSONIG00000019586             
 fugu                            takifugu_rubripes               ENSTRUG00000002402             
 pufferfish                      tetraodon_nigroviridis          ENSTNIG00000004171             

% The following exons appear in the alignment

% sequence name: human   corresponding to the gene: ENSG00000108846 
%              exon_id   gene_from     gene_to  coding   canon    source  maps_to_human_exon
    ENSMICE00000116321        12801       12870     1       1            ensembl_projection   ENSE00002863798 
    ENSMICE00000116347        20807       20932     1       1            ensembl_projection   ENSE00002908859 
    ENSMICE00000116354        21138       21199     1       1            ensembl_projection   ENSE00002864408 
    ENSMICE00000116360        21894       22025     1       1            ensembl_projection   ENSE00002804371 
    ENSMICE00000116382        26959       27051     1       1            ensembl_projection   ENSE00002840855 
    ENSMICE00000116412        35513       35680     1       1            ensembl_projection   ENSE00002754727 
    ENSMICE00000116417        36001       36190     1       1            ensembl_projection   ENSE00002853345 
    ENSMICE00000116420        37510       37624     1       1            ensembl_projection   ENSE00002777896 
    ENSMICE00000116425        37796       37940     1       1            ensembl_projection   ENSE00002797748 
    ENSMICE00000116430        38040       38247     1       1            ensembl_projection   ENSE00002897593 
    ENSMICE00000116436        38419       38729     1       1            ensembl_projection   ENSE00002753062 
    ENSMICE00000116444        39713       39912     1       1            ensembl_projection   ENSE00001109871 
    ENSMICE00000116451        40064       40190     1       1            ensembl_projection   ENSE00001304270 
    ENSMICE00000116458        41258       41359     1       1            ensembl_projection   ENSE00002942575 
    ENSMICE00000116465        44932       45078     1       1            ensembl_projection   ENSE00002737071 
    ENSMICE00000116472        45268       45426     1       1            ensembl_projection   ENSE00002758398 
    ENSMICE00000116477        46028       46194     1       1            ensembl_projection   ENSE00002974467 
    ENSMICE00000116481        49149       49343     1       1            ensembl_projection   ENSE00002762009 
    ENSMICE00000116486        51877       51985     1       1            ensembl_projection   ENSE00002485196 

% sequence name: galago_lemur_3   corresponding to the gene: ENSOGAG00000034471 
%              exon_id   gene_from     gene_to  coding   canon    source  maps_to_human_exon
    ENSOGAE00000323368            0         170     1       1            ensembl   ENSE00002937575 
    ENSOGAE00000285396          532         657     1       1            ensembl   ENSE00002863798 
    ENSOGAE00000240100         3826        4093     1       1            ensembl   ENSE00002809886 
    ENSOGAE00000241127         8524        8644     1       1            ensembl   ENSE00002840855 
    ENSOGAE00000310693         9838       10137     1       1            ensembl   ENSE00002839115 

% sequence name: galago_lemur   corresponding to the gene: ENSOGAG00000004530 
%              exon_id   gene_from     gene_to  coding   canon    source  maps_to_human_exon
  otolemur_garnettii_1_3        18351       18371     1       0            usearch, by sim to ENSMUSE00000450656, mus_musculus   ENSE00001340022 
    ENSOGAE00000283670            0         170     1       1            ensembl   ENSE00002937575 
    ENSOGAE00000320976          288         359     1       1            ensembl   ENSE00002863798 
    ENSOGAE00000296649          757         954     1       1            ensembl   ENSE00002884336 
    ENSOGAE00000060005         1611        1736     1       1            ensembl   ENSE00002908859 
    ENSOGAE00000060007         1941        2002     1       1            ensembl   ENSE00002864408 
    ENSOGAE00000060009         2670        2792     1       1            ensembl   ENSE00002804371 
    ENSOGAE00000060011         3878        4084     1       1            ensembl   ENSE00002809886 
    ENSOGAE00000316086         7578        7755     1       1            ensembl   ENSE00002889551 
    ENSOGAE00000321248         7847        8008     1       1            ensembl   ENSE00002758535 
    ENSOGAE00000258749         9058        9150     1       1            ensembl   ENSE00002840855 
    ENSOGAE00000287086        10317       10520     1       1            ensembl   ENSE00002839115 
    ENSOGAE00000060020        10642       10788     1       1            ensembl   ENSE00002764761 
    ENSOGAE00000243127        11183       11270     1       1            ensembl   ENSE00002838555 
    ENSOGAE00000285525        11929       11989     1       1            ensembl   ENSE00002808801 
    ENSOGAE00000311280        12185       12311     1       1            ensembl   ENSE00002825804 
    ENSOGAE00000263083        12397       12573     1       1            ensembl   ENSE00002880878 
    ENSOGAE00000280653        17999       18166     1       1            ensembl   ENSE00002754727 
    ENSOGAE00000248072        18418       18508     1       1            ensembl   ENSE00002853345 
    ENSOGAE00000300013        19968       20161     1       1            ensembl   ENSE00002777896 
    ENSOGAE00000307575        20340       20484     1       1            ensembl   ENSE00002797748 
    ENSOGAE00000238729        20584       20791     1       1            ensembl   ENSE00002897593 
    ENSOGAE00000236059        20977       21287     1       1            ensembl   ENSE00002753062 
    ENSOGAE00000304005        25309       25508     1       1            ensembl   ENSE00001109871 
    ENSOGAE00000302668        25657       25783     1       1            ensembl   ENSE00001304270 
    ENSOGAE00000060033        26857       26958     1       1            ensembl   ENSE00002942575 
    ENSOGAE00000060034        29812       29958     1       1            ensembl   ENSE00002737071 
    ENSOGAE00000060035        30116       30274     1       1            ensembl   ENSE00002758398 
    ENSOGAE00000060036        30876       31042     1       1            ensembl   ENSE00002974467 
    ENSOGAE00000060038        36994       37107     1       1            ensembl   ENSE00002485196 

% sequence name: galago_lemur_2   corresponding to the gene: ENSOGAG00000032112 
%              exon_id   gene_from     gene_to  coding   canon    source  maps_to_human_exon
    ENSOGAE00000327810            0         185     1       1            ensembl   ENSE00002937575 
    ENSOGAE00000271478          542         661     1       1            ensembl   ENSE00002863798 
    ENSOGAE00000060001          846         983     1       1            ensembl   ENSE00002884336 
    ENSOGAE00000267263         1587        1686     1       1            ensembl   ENSE00002908859 
    ENSOGAE00000237801         4006        4103     1       1            ensembl   ENSE00002809886 
    ENSOGAE00000328001         7303        7480     1       1            ensembl   ENSE00002889551 
    ENSOGAE00000253406         7572        7733     1       1            ensembl   ENSE00002758535 
    ENSOGAE00000274139         8843        8935     1       1            ensembl   ENSE00002840855 
    ENSOGAE00000323551        10112       10315     1       1            ensembl   ENSE00002839115 
    ENSOGAE00000271322        10437       10602     1       1            ensembl   ENSE00002764761 
    ENSOGAE00000273888        12135       12361     1       1            ensembl   ENSE00002880878 

% sequence name: guinea_pig   corresponding to the gene: ENSCPOG00000013296 
%              exon_id   gene_from     gene_to  coding   canon    source  maps_to_human_exon
    ENSCPOE00000211750         1196        1372     1       1            ensembl   ENSE00002937575 
    ENSCPOE00000250877         1712        1837     1       1            ensembl   ENSE00002863798 
    ENSCPOE00000217207         2016        2153     1       1            ensembl   ENSE00002884336 
    ENSCPOE00000175573         2784        2909     1       1            ensembl   ENSE00002908859 
    ENSCPOE00000175574         3134        3195     1       1            ensembl   ENSE00002864408 
    ENSCPOE00000175575         3858        3989     1       1            ensembl   ENSE00002804371 
    ENSCPOE00000228399         4725        4916     1       1            ensembl   ENSE00002809886 
    ENSCPOE00000175577         8494        8671     1       1            ensembl   ENSE00002889551 
    ENSCPOE00000175578         8764        8925     1       1            ensembl   ENSE00002758535 
    ENSCPOE00000263151         9327        9419     1       1            ensembl   ENSE00002840855 
    ENSCPOE00000260374        10742       10945     1       1            ensembl   ENSE00002839115 
    ENSCPOE00000267242        11029       11175     1       1            ensembl   ENSE00002764761 
    ENSCPOE00000217959        11520       11607     1       1            ensembl   ENSE00002838555 
    ENSCPOE00000175583        11738       11804     1       1            ensembl   ENSE00002808801 
    ENSCPOE00000175584        11959       12085     1       1            ensembl   ENSE00002825804 
    ENSCPOE00000175585        12170       12346     1       1            ensembl   ENSE00002880878 
    ENSCPOE00000175586        13674       13841     1       1            ensembl   ENSE00002754727 
    ENSCPOE00000175587        14038       14233     1       1            ensembl   ENSE00002853345 
    ENSCPOE00000175590        15031       15142     1       1            ensembl   ENSE00002777896 
    ENSCPOE00000298428        15326       15470     1       1            ensembl   ENSE00002797748 
    ENSCPOE00000272959        15559       15766     1       1            ensembl   ENSE00002897593 
    ENSCPOE00000175593        15888       16198     1       1            ensembl   ENSE00002753062 
    ENSCPOE00000175595        17194       17393     1       1            ensembl   ENSE00001109871 
    ENSCPOE00000175596        17507       17633     1       1            ensembl   ENSE00001304270 
    ENSCPOE00000175597        18899       19000     1       1            ensembl   ENSE00002942575 
    ENSCPOE00000175598        21364       21510     1       1            ensembl   ENSE00002737071 
    ENSCPOE00000175599        21599       21757     1       1            ensembl   ENSE00002758398 
    ENSCPOE00000175601        22300       22466     1       1            ensembl   ENSE00002974467 
    ENSCPOE00000251880        24954       25148     1       1            ensembl   ENSE00002762009 
    ENSCPOE00000237779        26963       27071     1       1            ensembl   ENSE00002485196 

% sequence name: squirrel   corresponding to the gene: ENSSTOG00000027974 
%              exon_id   gene_from     gene_to  coding   canon    source  maps_to_human_exon
    ENSSTOE00000299122            0         167     1       1            ensembl   ENSE00001340022 
    ENSSTOE00000322185        14597       14773     1       1            ensembl   ENSE00002937575 
    ENSSTOE00000301158        15075       15200     1       1            ensembl   ENSE00002863798 
    ENSSTOE00000254488        15405       15542     1       1            ensembl   ENSE00002884336 
    ENSSTOE00000252075        16562       16687     1       1            ensembl   ENSE00002908859 
    ENSSTOE00000276658        16906       16967     1       1            ensembl   ENSE00002864408 
    ENSSTOE00000316738        17721       17852     1       1            ensembl   ENSE00002804371 
    ENSSTOE00000293576        18842       19033     1       1            ensembl   ENSE00002809886 
    ENSSTOE00000266608        21919       22096     1       1            ensembl   ENSE00002889551 
    ENSSTOE00000225732        22181       22342     1       1            ensembl   ENSE00002758535 
    ENSSTOE00000289909        22830       22922     1       1            ensembl   ENSE00002840855 
    ENSSTOE00000323133        24273       24476     1       1            ensembl   ENSE00002839115 
    ENSSTOE00000236370        24579       24725     1       1            ensembl   ENSE00002764761 
    ENSSTOE00000267903        25137       25224     1       1            ensembl   ENSE00002838555 
    ENSSTOE00000276672        25518       25584     1       1            ensembl   ENSE00002808801 
    ENSSTOE00000276110        25804       25930     1       1            ensembl   ENSE00002825804 
    ENSSTOE00000239877        26012       26188     1       1            ensembl   ENSE00002880878 
    ENSSTOE00000242314        27869       28036     1       1            ensembl   ENSE00002754727 
    ENSSTOE00000302200        28312       28501     1       1            ensembl   ENSE00002853345 
    ENSSTOE00000257468        29372       29483     1       1            ensembl   ENSE00002777896 
    ENSSTOE00000243478        29618       29765     1       1            ensembl   ENSE00002797748 
    ENSSTOE00000315406        29869       30076     1       1            ensembl   ENSE00002897593 
    ENSSTOE00000243312        30244       30554     1       1            ensembl   ENSE00002753062 
    ENSSTOE00000265476        31346       31545     1       1            ensembl   ENSE00001109871 
    ENSSTOE00000259313        31681       31807     1       1            ensembl   ENSE00001304270 
    ENSSTOE00000268657        33362       33463     1       1            ensembl   ENSE00002942575 
    ENSSTOE00000317003        37481       37627     1       1            ensembl   ENSE00002737071 
    ENSSTOE00000299362        37807       37965     1       1            ensembl   ENSE00002758398 
    ENSSTOE00000296788        38560       38726     1       1            ensembl   ENSE00002974467 
    ENSSTOE00000319419        43431       43625     1       1            ensembl   ENSE00002762009 
    ENSSTOE00000299980        46136       46244     1       1            ensembl   ENSE00002485196 

% sequence name: mouse   corresponding to the gene: ENSMUSG00000020865 
%              exon_id   gene_from     gene_to  coding   canon    source  maps_to_human_exon
    ENSMUSE00000450656           21         126     1       1            ensembl_havana_transcript   ENSE00001340022 
    ENSMUSE00001039514        17280       17456     1       1            ensembl_havana_transcript   ENSE00002937575 
    ENSMUSE00000979344        17805       17930     1       1            ensembl_havana_transcript   ENSE00002863798 
    ENSMUSE00001004610        18138       18275     1       1            ensembl_havana_transcript   ENSE00002884336 
    ENSMUSE00000977092        18963       19088     1       1            ensembl_havana_transcript   ENSE00002908859 
    ENSMUSE00000987063        19309       19370     1       1            ensembl_havana_transcript   ENSE00002864408 
    ENSMUSE00001027177        19993       20124     1       1            ensembl_havana_transcript   ENSE00002804371 
    ENSMUSE00001032241        21190       21378     1       1            ensembl_havana_transcript   ENSE00002809886 
    ENSMUSE00001037896        24379       24556     1       1            ensembl_havana_transcript   ENSE00002889551 
    ENSMUSE00000965860        24655       24816     1       1            ensembl_havana_transcript   ENSE00002758535 
    ENSMUSE00001079707        25315       25407     1       1            ensembl_havana_transcript   ENSE00002840855 
    ENSMUSE00001016741        27768       27971     1       1            ensembl_havana_transcript   ENSE00002839115 
    ENSMUSE00001026389        28078       28224     1       1            ensembl_havana_transcript   ENSE00002764761 
    ENSMUSE00000110680        28558       28645     1       1            ensembl_havana_transcript   ENSE00002838555 
    ENSMUSE00000110662        28889       28955     1       1            ensembl_havana_transcript   ENSE00002808801 
    ENSMUSE00000110634        29174       29300     1       1            ensembl_havana_transcript   ENSE00002825804 
    ENSMUSE00000298079        29388       29564     1       1            ensembl_havana_transcript   ENSE00002880878 
    ENSMUSE00000110672        31180       31347     1       1            ensembl_havana_transcript   ENSE00002754727 
    ENSMUSE00000110650        31648       31825     1       1            ensembl_havana_transcript   ENSE00002853345 
    ENSMUSE00000409399        33057       33168     1       1            ensembl_havana_transcript   ENSE00002777896 
    ENSMUSE00000363716        33323       33470     1       1            ensembl_havana_transcript   ENSE00002797748 
    ENSMUSE00000110670        33549       33756     1       1            ensembl_havana_transcript   ENSE00002897593 
    ENSMUSE00000110661        33935       34245     1       1            ensembl_havana_transcript   ENSE00002753062 
    ENSMUSE00000110678        35591       35790     1       1            ensembl_havana_transcript   ENSE00001109871 
    ENSMUSE00000298032        35898       36024     1       1            ensembl_havana_transcript   ENSE00001304270 
    ENSMUSE00000298022        37883       37984     1       1            ensembl_havana_transcript   ENSE00002942575 
    ENSMUSE00000298012        40771       40917     1       1            ensembl_havana_transcript   ENSE00002737071 
    ENSMUSE00000349865        41040       41198     1       1            ensembl_havana_transcript   ENSE00002758398 
    ENSMUSE00000297992        41895       42061     1       1            ensembl_havana_transcript   ENSE00002974467 
    ENSMUSE00001094579        46856       47050     1       1            ensembl_havana_transcript   ENSE00002762009 
    ENSMUSE00000821094        49222       49699     1       1            ensembl_havana_transcript   ENSE00002485196 

% sequence name: rat   corresponding to the gene: ENSRNOG00000002948 
%              exon_id   gene_from     gene_to  coding   canon    source  maps_to_human_exon
    ENSRNOE00000261697            0         102     1       1            ensembl   ENSE00001340022 
    ENSRNOE00000027975        15752       15928     1       1            ensembl   ENSE00002937575 
    ENSRNOE00000027979        16260       16385     1       1            ensembl   ENSE00002863798 
    ENSRNOE00000027990        16598       16735     1       1            ensembl   ENSE00002884336 
    ENSRNOE00000027998        17569       17694     1       1            ensembl   ENSE00002908859 
    ENSRNOE00000332034        17878       17939     1       1            ensembl   ENSE00002864408 
    ENSRNOE00000028017        18601       18732     1       1            ensembl   ENSE00002804371 
    ENSRNOE00000028027        19836       20024     1       1            ensembl   ENSE00002809886 
    ENSRNOE00000028036        23066       23243     1       1            ensembl   ENSE00002889551 
    ENSRNOE00000354728        23341       23502     1       1            ensembl   ENSE00002758535 
    ENSRNOE00000028056        23883       23975     1       1            ensembl   ENSE00002840855 
    ENSRNOE00000028064        25659       25862     1       1            ensembl   ENSE00002839115 
    ENSRNOE00000028074        25968       26114     1       1            ensembl   ENSE00002764761 
    ENSRNOE00000028082        26440       26527     1       1            ensembl   ENSE00002838555 
    ENSRNOE00000028086        26780       26846     1       1            ensembl   ENSE00002808801 
    ENSRNOE00000028096        27062       27188     1       1            ensembl   ENSE00002825804 
    ENSRNOE00000028104        27276       27452     1       1            ensembl   ENSE00002880878 
    ENSRNOE00000028112        29773       29940     1       1            ensembl   ENSE00002754727 
    ENSRNOE00000028122        30232       30412     1       1            ensembl   ENSE00002853345 
    ENSRNOE00000028130        31391       31502     1       1            ensembl   ENSE00002777896 
    ENSRNOE00000028139        31655       31802     1       1            ensembl   ENSE00002797748 
    ENSRNOE00000028145        31884       32091     1       1            ensembl   ENSE00002897593 
    ENSRNOE00000028149        32256       32566     1       1            ensembl   ENSE00002753062 
    ENSRNOE00000261749        34028       34196     1       1            ensembl   ENSE00001109871 
    ENSRNOE00000028168        34250       34392     1       1            ensembl   ENSE00001304270 
    ENSRNOE00000028176        36265       36366     1       1            ensembl   ENSE00002942575 
    ENSRNOE00000028180        38593       38739     1       1            ensembl   ENSE00002737071 
    ENSRNOE00000028188        38850       39008     1       1            ensembl   ENSE00002758398 
    ENSRNOE00000028206        39714       39880     1       1            ensembl   ENSE00002974467 
    ENSRNOE00000028220        43555       43702     1       1            ensembl   ENSE00002485196 

% sequence name: pika   corresponding to the gene: ENSOPRG00000013477 
%              exon_id   gene_from     gene_to  coding   canon    source  maps_to_human_exon
    ENSOPRE00000170820            0         176     1       1            ensembl_projection   ENSE00002937575 
    ENSOPRE00000170840          450         575     1       1            ensembl_projection   ENSE00002863798 
    ENSOPRE00000170857          757         894     1       1            ensembl_projection   ENSE00002884336 
    ENSOPRE00000170873         1711        1836     1       1            ensembl_projection   ENSE00002908859 
    ENSOPRE00000170893         1999        2060     1       1            ensembl_projection   ENSE00002864408 
    ENSOPRE00000170917         2749        2880     1       1            ensembl_projection   ENSE00002804371 
    ENSOPRE00000170942         3952        4143     1       1            ensembl_projection   ENSE00002809886 
    ENSOPRE00000170962         7013        7190     1       1            ensembl_projection   ENSE00002889551 
    ENSOPRE00000170971         7279        7440     1       1            ensembl_projection   ENSE00002758535 
    ENSOPRE00000170983         7919        8011     1       1            ensembl_projection   ENSE00002840855 
    ENSOPRE00000170998         9539        9742     1       1            ensembl_projection   ENSE00002839115 
    ENSOPRE00000171008         9856       10002     1       1            ensembl_projection   ENSE00002764761 
    ENSOPRE00000171074        15369       15536     1       1            ensembl_projection   ENSE00002754727 
    ENSOPRE00000171094        15756       15942     1       1            ensembl_projection   ENSE00002853345 
    ENSOPRE00000171105        16862       16973     1       1            ensembl_projection   ENSE00002777896 
    ENSOPRE00000171121        17078       17225     1       1            ensembl_projection   ENSE00002797748 
    ENSOPRE00000171138        17333       17540     1       1            ensembl_projection   ENSE00002897593 
    ENSOPRE00000171145        17670       17980     1       1            ensembl_projection   ENSE00002753062 
    ENSOPRE00000171158        19934       20133     1       1            ensembl_projection   ENSE00001109871 
    ENSOPRE00000171170        20259       20385     1       1            ensembl_projection   ENSE00001304270 
  ochotona_princeps_1_3        22315       22417     1       0            usearch, by sim to ENSOCUE00000032106, oryctolagus_cuniculus   ENSE00002942575 
    ENSOPRE00000171241        25638       25784     1       1            ensembl_projection   ENSE00002737071 
    ENSOPRE00000171261        25910       26068     1       1            ensembl_projection   ENSE00002758398 
    ENSOPRE00000171272        26662       26828     1       1            ensembl_projection   ENSE00002974467 
    ENSOPRE00000171293        30076       30270     1       1            ensembl_projection   ENSE00002762009 
    ENSOPRE00000171301        32589       32697     1       1            ensembl_projection   ENSE00002485196 

% sequence name: rabbit   corresponding to the gene: ENSOCUG00000002754 
%              exon_id   gene_from     gene_to  coding   canon    source  maps_to_human_exon
    ENSOCUE00000032049          414         590     1       1            ensembl   ENSE00002937575 
    ENSOCUE00000032052          846         971     1       1            ensembl   ENSE00002863798 
    ENSOCUE00000268197         1189        1326     1       1            ensembl   ENSE00002884336 
    ENSOCUE00000266317         2106        2231     1       1            ensembl   ENSE00002908859 
    ENSOCUE00000032058         2376        2437     1       1            ensembl   ENSE00002864408 
    ENSOCUE00000032061         3107        3238     1       1            ensembl   ENSE00002804371 
    ENSOCUE00000032063         4388        4582     1       1            ensembl   ENSE00002809886 
    ENSOCUE00000279372         7545        7722     1       1            ensembl   ENSE00002889551 
    ENSOCUE00000257656         7817        7978     1       1            ensembl   ENSE00002758535 
    ENSOCUE00000233147         8472        8564     1       1            ensembl   ENSE00002840855 
    ENSOCUE00000309566         9513        9716     1       1            ensembl   ENSE00002839115 
    ENSOCUE00000257543         9804        9950     1       1            ensembl   ENSE00002764761 
    ENSOCUE00000293119        10313       10400     1       1            ensembl   ENSE00002838555 
    ENSOCUE00000032077        10639       10705     1       1            ensembl   ENSE00002808801 
    ENSOCUE00000032080        10930       11056     1       1            ensembl   ENSE00002825804 
    ENSOCUE00000032084        11141       11317     1       1            ensembl   ENSE00002880878 
    ENSOCUE00000032087        13817       13984     1       1            ensembl   ENSE00002754727 
    ENSOCUE00000032090        14237       14410     1       1            ensembl   ENSE00002853345 
    ENSOCUE00000032092        15309       15424     1       1            ensembl   ENSE00002777896 
    ENSOCUE00000032094        15512       15665     1       1            ensembl   ENSE00002797748 
    ENSOCUE00000032096        15772       15979     1       1            ensembl   ENSE00002897593 
    ENSOCUE00000032098        16128       16438     1       1            ensembl   ENSE00002753062 
    ENSOCUE00000032101        18014       18213     1       1            ensembl   ENSE00001109871 
    ENSOCUE00000032105        18336       18462     1       1            ensembl   ENSE00001304270 
    ENSOCUE00000032106        19619       19720     1       1            ensembl   ENSE00002942575 
    ENSOCUE00000291988        22399       22545     1       1            ensembl   ENSE00002737071 
    ENSOCUE00000222134        22677       22835     1       1            ensembl   ENSE00002758398 
    ENSOCUE00000032109        23429       23595     1       1            ensembl   ENSE00002974467 
    ENSOCUE00000239414        26383       26577     1       1            ensembl   ENSE00002762009 
    ENSOCUE00000032111        28612       28720     1       1            ensembl   ENSE00002485196 

% sequence name: tree_shrew   corresponding to the gene: ENSTBEG00000006360 
%              exon_id   gene_from     gene_to  coding   canon    source  maps_to_human_exon
    ENSTBEE00000078431            0         125     1       1            ensembl_projection   ENSE00002908859 
    ENSTBEE00000078455          352         413     1       1            ensembl_projection   ENSE00002864408 
    ENSTBEE00000078478          783         903     1       1            ensembl_projection   ENSE00002804371 
    ENSTBEE00000078550         6973        7150     1       1            ensembl_projection   ENSE00002889551 
    ENSTBEE00000078578         7242        7403     1       1            ensembl_projection   ENSE00002758535 
    ENSTBEE00000078605         8121        8213     1       1            ensembl_projection   ENSE00002840855 
    ENSTBEE00000078685        10045       10191     1       1            ensembl_projection   ENSE00002764761 
    ENSTBEE00000078710        10806       10893     1       1            ensembl_projection   ENSE00002838555 
    ENSTBEE00000078736        11196       11262     1       1            ensembl_projection   ENSE00002808801 
    ENSTBEE00000078761        11471       11597     1       1            ensembl_projection   ENSE00002825804 
    ENSTBEE00000078783        11682       11858     1       1            ensembl_projection   ENSE00002880878 
    ENSTBEE00000078816        13696       13863     1       1            ensembl_projection   ENSE00002754727 
    ENSTBEE00000078842        14132       14324     1       1            ensembl_projection   ENSE00002853345 
    ENSTBEE00000078958        20305       20504     1       1            ensembl_projection   ENSE00001109871 
    ENSTBEE00000079142        20722       20776     1       1            ensembl_projection   ENSE00001304270 
    ENSTBEE00000079203        28040       28186     1       1            ensembl_projection   ENSE00002737071 
    ENSTBEE00000079227        28354       28512     1       1            ensembl_projection   ENSE00002758398 
    ENSTBEE00000079252        28890       29056     1       1            ensembl_projection   ENSE00002974467 
    ENSTBEE00000079265        31740       31934     1       1            ensembl_projection   ENSE00002762009 
    ENSTBEE00000079284        33773       33881     1       1            ensembl_projection   ENSE00002485196 

% sequence name: european_shrew   corresponding to the gene: ENSSARG00000009747 
%              exon_id   gene_from     gene_to  coding   canon    source  maps_to_human_exon
    ENSSARE00000118353            0         113     1       1            ensembl_projection   ENSE00002863798 
    ENSSARE00000118375          299         436     1       1            ensembl_projection   ENSE00002884336 
    ENSSARE00000118397         1229        1354     1       1            ensembl_projection   ENSE00002908859 
    ENSSARE00000118419         1531        1592     1       1            ensembl_projection   ENSE00002864408 
    ENSSARE00000118505         6887        6979     1       1            ensembl_projection   ENSE00002840855 
    ENSSARE00000118565         8771        8837     1       1            ensembl_projection   ENSE00002808801 
    ENSSARE00000118580         9422        9548     1       1            ensembl_projection   ENSE00002825804 
    ENSSARE00000118588         9622        9798     1       1            ensembl_projection   ENSE00002880878 
    ENSSARE00000118599        12274       12441     1       1            ensembl_projection   ENSE00002754727 
    ENSSARE00000118612        12672       12855     1       1            ensembl_projection   ENSE00002853345 
    ENSSARE00000118622        14108       14222     1       1            ensembl_projection   ENSE00002777896 
    ENSSARE00000118676        14671       14878     1       1            ensembl_projection   ENSE00002897593 
    ENSSARE00000118688        15144       15454     1       1            ensembl_projection   ENSE00002753062 
    ENSSARE00000118698        18422       18621     1       1            ensembl_projection   ENSE00001109871 
    ENSSARE00000118733        18764       18857     1       1            ensembl_projection   ENSE00001304270 
    ENSSARE00000118760        20789       20935     1       1            ensembl_projection   ENSE00002737071 

% sequence name: madagascar_hedgehog   corresponding to the gene: ENSETEG00000009934 
%              exon_id   gene_from     gene_to  coding   canon    source  maps_to_human_exon
    ENSETEE00000122694            0         176     1       1            ensembl_projection   ENSE00002937575 
    ENSETEE00000122696          579         704     1       1            ensembl_projection   ENSE00002863798 
    ENSETEE00000122698          908         979     1       1            ensembl_projection   ENSE00002884336 
    ENSETEE00000122702          983        1045     1       1            ensembl_projection   ENSE00002884336 
    ENSETEE00000122705         2270        2395     1       1            ensembl_projection   ENSE00002908859 
    ENSETEE00000122710         2585        2646     1       1            ensembl_projection   ENSE00002864408 
    ENSETEE00000122715         3342        3467     1       1            ensembl_projection   ENSE00002804371 
    ENSETEE00000122719         5294        5482     1       1            ensembl_projection   ENSE00002809886 
    ENSETEE00000122724        21862       22039     1       1            ensembl_projection   ENSE00002889551 
    ENSETEE00000122729        22122       22179     1       1            ensembl_projection   ENSE00002758535 
    ENSETEE00000122755        24819       25022     1       1            ensembl_projection   ENSE00002839115 
    ENSETEE00000122760        25146       25292     1       1            ensembl_projection   ENSE00002764761 
